127.0.0.1 - - [11/Oct/2025:11:09:30 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:55 +0900] "GET /Weapt2025/goMenu?pg=sojang/soj01010 HTTP/1.1" 200 51536
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:55 +0900] "GET /Weapt2025/goMenu?pg=sojang/soj01010 HTTP/1.1" 200 8204
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:55 +0900] "GET /Weapt2025/resources/grid/AUIGrid/AUIGrid_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:55 +0900] "GET /Weapt2025/resources/js/we_grid_script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:55 +0900] "GET /Weapt2025/resources/css/we_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:55 +0900] "GET /Weapt2025/resources/css/we_style_pop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:55 +0900] "GET /Weapt2025/resources/js/we_script.js HTTP/1.1" 200 6968
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:55 +0900] "GET /Weapt2025/resources/js/we_crud_script.js HTTP/1.1" 200 12898
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:58 +0900] "GET /Weapt2025/goMenu?pg=sojang/soj05040 HTTP/1.1" 200 67808
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:58 +0900] "GET /Weapt2025/checkCrudPermission/soj05040 HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:59 +0900] "GET /Weapt2025/selectList/sojang/soj05040_grid1? HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:59 +0900] "GET /Weapt2025/getCode/141 HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:09:59 +0900] "GET /Weapt2025/getCode/141 HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:10:07 +0900] "GET /Weapt2025/goPopup/pop_addr2 HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:10:19 +0900] "POST /Weapt2025/goPopup/pop_addr2 HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:11:42 +0900] "GET /Weapt2025/goMenu?pg=hwan/hwa01010 HTTP/1.1" 500 1038
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:11:42 +0900] "GET /Weapt2025/css/egovframework/sample.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:11:53 +0900] "GET /Weapt2025/goMenu?pg=sojang/soj05060 HTTP/1.1" 200 66958
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:11:53 +0900] "GET /Weapt2025/resources/js/we_crud_script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:11:53 +0900] "GET /Weapt2025/checkCrudPermission/soj05060 HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:11:53 +0900] "GET /Weapt2025/selectList/sojang/soj05060_grid1? HTTP/1.1" 200 9916
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:11:53 +0900] "GET /Weapt2025/getCode/107 HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:11:53 +0900] "GET /Weapt2025/getCode/107 HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:13:56 +0900] "GET /Weapt2025/goMenu?pg=sojang/soj05040 HTTP/1.1" 200 67808
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:13:56 +0900] "GET /Weapt2025/resources/js/we_crud_script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:13:56 +0900] "GET /Weapt2025/checkCrudPermission/soj05040 HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:13:56 +0900] "GET /Weapt2025/getCode/141 HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:13:56 +0900] "GET /Weapt2025/selectList/sojang/soj05040_grid1? HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:13:56 +0900] "GET /Weapt2025/getCode/141 HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:41 +0900] "GET /Weapt2025/goMenu?pg=sojang/soj05040 HTTP/1.1" 200 67808
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:41 +0900] "GET /Weapt2025/resources/js/we_crud_script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:41 +0900] "GET /Weapt2025/checkCrudPermission/soj05040 HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:41 +0900] "GET /Weapt2025/getCode/141 HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:41 +0900] "GET /Weapt2025/selectList/sojang/soj05040_grid1? HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:41 +0900] "GET /Weapt2025/getCode/141 HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:45 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:47 +0900] "GET /Weapt2025/goMenu?pg=sojang/soj05040 HTTP/1.1" 200 67808
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:47 +0900] "GET /Weapt2025/resources/css/we_style_pop.css HTTP/1.1" 200 4527
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:47 +0900] "GET /Weapt2025/resources/fontello_we/css/animation.css HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [11/Oct/2025:11:21:47 +0900] "GET /Weapt2025/resources/grid/AUIGrid/AUIGridLicense.js HTTP/1.1" 200 581
